N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
135,,,,,lntraosseous spindle cell rhabdomyosarcoma (with TFCP2/NCOA2 rearrangements),Si,Malignant
136,"Pediatric rhabdomyosarcoma (8910, 8920)",Alveolar rhabdomyosarcoma (8920),/3,8920/3,Alveolar rhabdomyosarcoma,Si,Malignant
137,,,/3,8921/3,Ectomesenchymoma,Si,Malignant
138,Endometrial stromal sarcoma (8930),Endometrial stromal sarcoma (8930),/0,8930/0,Endometrial stromal nodule,Si,Benign
139,Endometrial stromal sarcoma (8930),Endometrial stromal sarcoma (8930),/3,8930/3,"Endometrioid stromal sarcoma, high grade",Si,Malignant
140,"Endometrial stromal sarcoma, low grade (8931)","Endometrial stromal sarcoma, low grade (8931)",/3,8931/3,"Endometrial stromal sarcoma, low grade",Si,Malignant
141,,,/3,8933/3,Adenosarcoma,Si,Malignant
142,,,/1,8935/1,Stromal tumour of uncertain malignant potential,Si,Borderline
143,,,/3,8935/3,Stromal sarcoma,Si,Malignant
144,,,/3,8936/3,Gastrointestinal stromal tumour,Si,Malignant
145,,,/3,8936/3,Succinate dehydrogenase-deficient gastrointestinal stromal tumour,Si,Malignant
146,,,/0,8940/0,Pleomorphic adenoma,No,Benign
147,,,/0,8940/0,Mixed tumour NOS,No,Benign
148,,,/0,8940/0,          Mixed tumour,No,Benign
149,,,/3,8940/3,"Mixed tumour, malignant, NOS",No,Malignant
150,Extra-renal malignant rhabdoid tumor (8963),Extra-renal malignant rhabdoid tumor (8963),/3,8963/3,Rhabdoid tumour NOS,Si,Malignant
151,Extra-renal malignant rhabdoid tumor (8963),Extra-renal malignant rhabdoid tumor (8963),/3,8963/3,Malignant rhabdoid tumour of the kidney,si,Malignant
152,Extra-renal malignant rhabdoid tumor (8963),Extra-renal malignant rhabdoid tumor (8963),/3,8963/3,Extrarenal rhabdoid tumour,Si,Malignant
153,,,/3,8964/3,Clear cell sarcoma of kidney,Si,Malignant
154,,,/3,8970/3,          Mixed epithelial and mesenchymal hepatoblastoma without teratoid features†,Si,Malignant
155,,,/3,8970/3,          Mixed epithelial and mesenchymal hepatoblastoma with teratoid features†,Si,Malignant
156,,,/3,8973/3,Pleuropulmonary blastoma,boh!,
157,,,/3,8980/3,Carcinosarcoma NOS,No,Malignant
158,,,  ,      ,     Myoepithelial tumours of soft tissue,Si,Borderline
159,Malignant myoepithelioma/myoepithelial carcinoma (8982),Malignant myoepithelioma/myoepithelial carcinoma (8982),/0,8982/0,          Myoepithelioma,Si,Borderline
160,Malignant myoepithelioma/myoepithelial carcinoma (8982),Malignant myoepithelioma/myoepithelial carcinoma (8982),/0,8982/0,Myoepithelioma NOS,Si,Borderline
161,Malignant myoepithelioma/myoepithelial carcinoma (8982),Malignant myoepithelioma/myoepithelial carcinoma (8982),/3,8982/3,Myoepithelial carcinoma,Si,Malignant
162,Phosphaturic mesenchymal tumor (8990),Phosphaturic mesenchymal tumor (8990),/0,8990/0,Phosphaturic mesenchymal tumour NOS,Si,Benign
,Phosphaturic mesenchymal tumor (8990),Phosphaturic mesenchymal tumor (8990),/1,8990/1,"Mesenchymoma, NOS",,
